"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group"
"ELF1",1383.66929026559,0.920699513610082,0.114618231516243,8.03274925315527,9.53123379950791e-16,1.44159911217557e-13,"Stable"
"PRODH",55.3525959857408,4.95951526106717,0.620224768143897,7.99631926327154,1.28193718110984e-15,1.92235793526257e-13,"Up"
"RND2",158.326081712571,-2.36587336665142,0.296081967398598,-7.99060269505161,1.34280655352069e-15,1.98357393278216e-13,"Down"
"LAMC1",33940.2281579426,0.803220620313345,0.100523614034521,7.99036751740248,1.34537074950742e-15,1.98357393278216e-13,"Stable"
"SLC7A14",244.596537055771,-2.83781471840753,0.35864852812181,-7.91252297414616,2.5222430566995e-15,3.68772953581606e-13,"Down"
"ADAMTS14",799.851378951975,-2.41019938573618,0.304680698302734,-7.91057457581833,2.56203643165628e-15,3.71495282590161e-13,"Down"
"PRSS35",313.82917986307,-2.73224591646123,0.345543524037362,-7.90709628858737,2.63461844348964e-15,3.7888836550021e-13,"Down"
"SAT1",4098.13354010133,1.32025326817923,0.167551647855082,7.87967940083251,3.28222132373881e-15,4.68183521341443e-13,"Stable"
"ZNF521",945.112331865745,-0.995224393721003,0.126847445057014,-7.84583712564078,4.30074830530497e-15,6.08521201746578e-13,"Stable"
"GLS",3865.44030596387,1.18531275510712,0.15117914039017,7.84045174518134,4.48928427542369e-15,6.30115940898469e-13,"Stable"
"AFAP1L1",487.995970977493,1.69636925116119,0.216712196129947,7.82775165152218,4.966718023527e-15,6.91595775577628e-13,"Up"
"ENDOD1",2027.264999916,1.96102762339423,0.250858230427629,7.8172744025633,5.3979350243933e-15,7.45722598448664e-13,"Up"
"TJP2",5030.01596506493,1.9565970380298,0.250368566416255,7.81486696208028,5.50211117695785e-15,7.54176098435355e-13,"Up"
"USP33",2737.17334739428,0.891472203296667,0.11416286492735,7.8087756808133,5.77461703376725e-15,7.85392681065475e-13,"Stable"
