"","GSM909136","GSM909137","GSM909138","GSM909139","GSM909140","GSM909141","GSM909142","GSM909143","GSM909144","GSM909145","GSM909146","GSM909147","GSM909148","GSM909149","GSM909150"
"LINC00926",2.28341531546667,2.28764592386667,2.28728568033333,2.2876815672,2.28915358493333,2.35228635013333,2.28724797313333,2.2870239104,2.2865701126,2.2867160594,2.28942798493333,2.2823608518,2.28539785653333,2.28929023086667,2.2870637502
"LINC00925",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00924",2.300566468,2.27327344,2.27327344,2.27327344,2.35067341053333,2.27327344,2.2857780918,2.27327344,2.27327344,2.3216613462,2.3640748552,2.27327344,2.3038480682,2.27327344,2.27467317713333
"LINC00923",2.2811960414,2.2883245294,2.27712527826667,2.2847959762,2.27327344,2.28464288206667,2.2846207774,2.28437693126667,2.27327344,2.28409236113333,2.28650646373333,2.40434130926667,2.2829796942,2.2864241156,2.29994175433333
"LINC00922",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00921 /// ZNF263",5.4362622384,5.3715169258,5.44105882233333,5.57182013186667,5.49288742806667,5.7669910064,5.4275780284,5.4776467144,4.97222267893333,5.766353805,5.35826118453333,5.3298220928,5.45113825686667,5.37423653713333,5.1079342852
"LINC00917",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00909",5.15788334713333,4.42015832526667,5.35577324573333,5.19728656133333,5.02298266066667,5.55876046746667,4.89063511286667,4.93334080113333,5.17655644993333,4.25784426566667,4.9835017498,5.3715169258,4.3498611386,4.20322891126667,4.93458322133333
"LINC00908",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00906",2.27327344,2.27327344,2.27327344,2.27327344,2.27387879786667,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27346574253333,2.27327344
"LINC00905",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00900",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.2784702596,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
